id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name
35,145,Right Oculomotor nucleus,RIII,,1,3,8690,323,5,1,783,/997/8/343/313/323/35/,FF90FF,,,f,784,3545914074,734881840,Oculomotor nucleus
36,994,Right Gustatory areas layer 1,RGU1,,1,3,8690,1057,7,1,98,/997/8/567/688/695/315/1057/36/,009C75,,,f,99,2374290445,734881840,Gustatory areas layer 1
37,570,Right longitudinal association bundle,Rlab,,1,3,8690,768,4,1,1166,/997/1009/991/768/37/,CCCCCC,,,f,1167,2214700383,734881840,longitudinal association bundle
38,287,Right Paraventricular hypothalamic nucleus,RPVH,,1,3,8690,157,6,1,660,/997/8/343/1129/1097/157/38/,FF5D50,,,f,661,3443963014,734881840,Paraventricular hypothalamic nucleus
39,4,Right Anterior cingulate area dorsal part,RACAd,,1,3,8690,31,7,1,209,/997/8/567/688/695/315/31/39/,40A666,,,f,210,1697985147,734881840,Anterior cingulate area dorsal part
41,995,Right posteromedial visual area layer 2/3,RVISpm2/3,,1,3,8690,533,8,1,184,/997/8/567/688/695/315/669/533/41/,08858C,,,f,185,736869347,734881840,posteromedial visual area layer 2/3
42,429,Right Superior colliculus motor related deep white layer,RSCdw,,1,3,8690,294,6,1,764,/997/8/343/313/323/294/42/,FF90FF,,,f,765,3170401061,734881840,Superior colliculus motor related deep white layer
43,712,Right ansoparamedian fissure,Rapf,,1,3,8690,1040,3,1,1228,/997/1024/1040/43/,AAAAAA,,,f,1229,2452402730,734881840,ansoparamedian fissure
44,146,Right Infralimbic area,RILA,,1,3,8690,315,6,1,228,/997/8/567/688/695/315/44/,59B363,,,f,229,1110609938,734881840,Infralimbic area
45,854,Right Spinal nucleus of the trigeminal oral part rostral dorsomedial part,RSPVOrdm,,1,3,8690,445,7,1,874,/997/8/343/1065/354/386/445/45/,FFA5D2,,,f,875,3878567998,734881840,Spinal nucleus of the trigeminal oral part rostral dorsomedial part
46,571,Right mammillary related,Rmfbsma,,1,3,8690,824,4,1,1184,/997/1009/991/824/46/,CCCCCC,,,f,1185,2838641316,734881840,mammillary related
47,288,Right Paraventricular hypothalamic nucleus magnocellular division anterior magnocellular part,RPVHam,,1,3,8690,71,8,1,662,/997/8/343/1129/1097/157/38/71/47/,FF5D50,,,f,663,4203299482,734881840,Paraventricular hypothalamic nucleus magnocellular division anterior magnocellular part
48,5,Right Anterior cingulate area ventral part,RACAv,,1,3,8690,31,7,1,215,/997/8/567/688/695/315/31/48/,40A666,,,f,216,1783773415,734881840,Anterior cingulate area ventral part
49,713,Right intraparafloccular fissure,Ripf,,1,3,8690,1040,3,1,1229,/997/1024/1040/49/,AAAAAA,,,f,1230,2654107150,734881840,intraparafloccular fissure
50,430,Right Precommissural nucleus,RPRC,,1,3,8690,795,6,1,771,/997/8/343/313/323/795/50/,FF90FF,,,f,772,3014276231,734881840,Precommissural nucleus
51,147,Right Intralaminar nuclei of the dorsal thalamus,RILM,,1,3,8690,856,6,1,638,/997/8/343/1129/549/856/51/,FF909F,,,f,639,53488759,734881840,Intralaminar nuclei of the dorsal thalamus
52,996,Right Entorhinal area lateral part layer 3,RENTl3,,1,3,8690,918,9,1,461,/997/8/567/688/695/1089/822/909/918/52/,32B825,,,f,462,2381220030,734881840,Entorhinal area lateral part layer 3
53,855,Right Spinal nucleus of the trigeminal oral part middle dorsomedial part dorsal zone,RSPVOmdmd,,1,3,8690,445,7,1,872,/997/8/343/1065/354/386/445/53/,FFA5D2,,,f,873,217466567,734881840,Spinal nucleus of the trigeminal oral part middle dorsomedial part dorsal zone
54,572,Right medial forebrain bundle,Rmfb,,1,3,8690,824,4,1,1169,/997/1009/991/824/54/,CCCCCC,,,f,1170,4274696721,734881840,medial forebrain bundle
55,289,Right Paraventricular hypothalamic nucleus parvicellular division anterior parvicellular part,RPVHap,,1,3,8690,94,8,1,668,/997/8/343/1129/1097/157/38/94/55/,FF5D50,,,f,669,1148389696,734881840,Paraventricular hypothalamic nucleus parvicellular division anterior parvicellular part
56,6,Right Nucleus accumbens,RACB,,1,3,8690,493,6,1,525,/997/8/567/623/477/493/56/,80CDF8,,,f,526,2053079136,734881840,Nucleus accumbens
57,714,Right paramedian sulcus,Rpms,,1,3,8690,1040,3,1,1230,/997/1024/1040/57/,AAAAAA,,,f,1231,3972977495,734881840,paramedian sulcus
58,431,Right Medial terminal nucleus of the accessory optic tract,RMT,,1,3,8690,323,5,1,790,/997/8/343/313/323/58/,FF90FF,,,f,791,1464326049,734881840,Medial terminal nucleus of the accessory optic tract
59,148,Right Intermediodorsal nucleus of the thalamus,RIMD,,1,3,8690,444,7,1,627,/997/8/343/1129/549/856/444/59/,FF909F,,,f,628,80523806,734881840,Intermediodorsal nucleus of the thalamus
60,997,Right Entorhinal area lateral part layer 6b,RENTl6b,,1,3,8690,918,9,1,467,/997/8/567/688/695/1089/822/909/918/60/,32B825,,,f,468,547187647,734881840,Entorhinal area lateral part layer 6b
61,856,Right Spinal nucleus of the trigeminal oral part middle dorsomedial part ventral zone,RSPVOmdmv,,1,3,8690,445,7,1,873,/997/8/343/1065/354/386/445/61/,FFA5D2,,,f,874,2911019619,734881840,Spinal nucleus of the trigeminal oral part middle dorsomedial part ventral zone
62,573,Right medial longitudinal fascicle,Rmlf,,1,3,8690,832,4,1,1032,/997/1009/967/832/62/,CCCCCC,,,f,1033,2996842461,734881840,medial longitudinal fascicle
63,290,Right Paraventricular hypothalamic nucleus descending division,RPVHd,,1,3,8690,467,6,1,717,/997/8/343/1129/1097/467/63/,FF4C3E,,,f,718,3500188330,734881840,Paraventricular hypothalamic nucleus descending division
64,7,Right Anterodorsal nucleus,RAD,,1,3,8690,239,7,1,622,/997/8/343/1129/549/856/239/64/,FF909F,,,f,623,1062958533,734881840,Anterodorsal nucleus
65,715,Right parafloccular sulcus,Rpfs,,1,3,8690,1040,3,1,1231,/997/1024/1040/65/,AAAAAA,,,f,1232,771629690,734881840,parafloccular sulcus
66,432,Right Lateral terminal nucleus of the accessory optic tract,RLT,,1,3,8690,323,5,1,788,/997/8/343/313/323/66/,FF90FF,,,f,789,1984958584,734881840,Lateral terminal nucleus of the accessory optic tract
67,149,Right Interstitial nucleus of Cajal,RINC,,1,3,8690,795,6,1,772,/997/8/343/313/323/795/67/,FF90FF,,,f,773,4183673030,734881840,Interstitial nucleus of Cajal
68,998,Right Frontal pole layer 1,RFRP1,,1,3,8690,184,7,1,7,/997/8/567/688/695/315/184/68/,268F45,,,f,8,1397862467,734881840,Frontal pole layer 1
69,857,Right Spinal nucleus of the trigeminal oral part ventrolateral part,RSPVOvl,,1,3,8690,445,7,1,875,/997/8/343/1065/354/386/445/69/,FFA5D2,,,f,876,4273257522,734881840,Spinal nucleus of the trigeminal oral part ventrolateral part
70,574,Right midbrain related,Rmfbsm,,1,3,8690,824,4,1,1196,/997/1009/991/824/70/,CCCCCC,,,f,1197,4145502087,734881840,midbrain related
71,291,Right Paraventricular hypothalamic nucleus magnocellular division,RPVHm,,1,3,8690,38,7,1,661,/997/8/343/1129/1097/157/38/71/,FF5D50,,,f,662,4268996545,734881840,Paraventricular hypothalamic nucleus magnocellular division
72,8,Right Anterodorsal preoptic nucleus,RADP,,1,3,8690,141,6,1,675,/997/8/343/1129/1097/141/72/,FF5547,,,f,676,1069999127,734881840,Anterodorsal preoptic nucleus
73,716,Right ventricular systems,RVS,,1,3,8690,997,1,1,1199,/997/73/,AAAAAA,,,f,1200,959784099,734881840,ventricular systems
74,999,Right Lateral visual area layer 6a,RVISl6a,,1,3,8690,409,8,1,166,/997/8/567/688/695/315/669/409/74/,08858C,,,f,167,3506956184,734881840,Lateral visual area layer 6a
75,433,Right Dorsal terminal nucleus of the accessory optic tract,RDT,,1,3,8690,323,5,1,789,/997/8/343/313/323/75/,FF90FF,,,f,790,313632257,734881840,Dorsal terminal nucleus of the accessory optic tract
76,150,Right Interstitial nucleus of the vestibular nerve,RINV,,1,3,8690,370,6,1,922,/997/8/343/1065/354/370/76/,FFB3D9,,,f,923,1070920716,734881840,Interstitial nucleus of the vestibular nerve
77,858,Right Spinal nucleus of the trigeminal oral part caudal dorsomedial part,RSPVOcdm,,1,3,8690,445,7,1,871,/997/8/343/1065/354/386/445/77/,FFA5D2,,,f,872,4278948626,734881840,Spinal nucleus of the trigeminal oral part caudal dorsomedial part
78,575,Right middle cerebellar peduncle,Rmcp,,1,3,8690,752,4,1,1091,/997/1009/960/752/78/,CCCCCC,,,f,1092,733008278,734881840,middle cerebellar peduncle
79,292,Right Paraventricular hypothalamic nucleus magnocellular division medial magnocellular part,RPVHmm,,1,3,8690,71,8,1,663,/997/8/343/1129/1097/157/38/71/79/,FF5D50,,,f,664,2109016078,734881840,Paraventricular hypothalamic nucleus magnocellular division medial magnocellular part
80,9,Right Anterior hypothalamic area,RAHA,,1,3,8690,141,6,1,676,/997/8/343/1129/1097/141/80/,FF5547,,,f,677,1854528966,734881840,Anterior hypothalamic area
81,717,Right lateral ventricle,RVL,,1,3,8690,73,2,1,1200,/997/73/81/,AAAAAA,,,f,1201,1797046580,734881840,lateral ventricle
82,434,Right Nucleus of the lateral lemniscus dorsal part,RNLLd,,1,3,8690,612,7,1,805,/997/8/343/1065/771/1132/612/82/,FFAE6F,,,f,806,713162928,734881840,Nucleus of the lateral lemniscus dorsal part
83,151,Right Inferior olivary complex,RIO,,1,3,8690,370,6,1,890,/997/8/343/1065/354/370/83/,FFB3D9,,,f,891,2657411510,734881840,Inferior olivary complex
84,1000,Right Prelimbic area layer 6a,RPL6a,,1,3,8690,972,7,1,226,/997/8/567/688/695/315/972/84/,2FA850,,,f,227,3335965557,734881840,Prelimbic area layer 6a
85,859,Right spinocerebellar tract,Rsct,,1,3,8690,812,6,1,1088,/997/1009/960/752/326/812/85/,CCCCCC,,,f,1089,855849778,734881840,spinocerebellar tract
86,576,Right middle thalamic commissure,Rmtc,,1,3,8690,896,4,1,1124,/997/1009/983/896/86/,CCCCCC,,,f,1125,48183717,734881840,middle thalamic commissure
87,293,Right Paraventricular hypothalamic nucleus parvicellular division medial parvicellular part dorsal zone,RPVHmpd,,1,3,8690,94,8,1,669,/997/8/343/1129/1097/157/38/94/87/,FF5D50,,,f,670,4123394571,734881840,Paraventricular hypothalamic nucleus parvicellular division medial parvicellular part dorsal zone
88,10,Right Anterior hypothalamic nucleus,RAHN,,1,3,8690,467,6,1,696,/997/8/343/1129/1097/467/88/,FF4C3E,,,f,697,2309913226,734881840,Anterior hypothalamic nucleus
89,718,Right rhinocele,RRC,,1,3,8690,81,3,1,1201,/997/73/81/89/,AAAAAA,,,f,1202,2684298025,734881840,rhinocele
90,435,Right Nucleus of the lateral lemniscus horizontal part,RNLLh,,1,3,8690,612,7,1,806,/997/8/343/1065/771/1132/612/90/,FFAE6F,,,f,807,622626105,734881840,Nucleus of the lateral lemniscus horizontal part
91,152,Right Interposed nucleus,RIP,,1,3,8690,519,4,1,1011,/997/8/512/519/91/,FFFDBC,,,f,1012,3559061393,734881840,Interposed nucleus
92,1001,Right Entorhinal area lateral part layer 4,RENTl4,,1,3,8690,918,9,1,462,/997/8/567/688/695/1089/822/909/918/92/,32B825,,,f,463,327818525,734881840,Entorhinal area lateral part layer 4
93,577,Right motor root of the trigeminal nerve,RmoV,,1,3,8690,901,4,1,1038,/997/1009/967/901/93/,CCCCCC,,,f,1039,511291358,734881840,motor root of the trigeminal nerve
94,294,Right Paraventricular hypothalamic nucleus parvicellular division,RPVHp,,1,3,8690,38,7,1,667,/997/8/343/1129/1097/157/38/94/,FF5D50,,,f,668,2057162096,734881840,Paraventricular hypothalamic nucleus parvicellular division
95,11,Right Agranular insular area,RAI,,1,3,8690,315,6,1,260,/997/8/567/688/695/315/95/,219866,,,f,261,3198937984,734881840,Agranular insular area
96,860,Right Dorsal cochlear nucleus,RDCO,,1,3,8690,607,7,1,855,/997/8/343/1065/354/386/607/96/,FFA5D2,,,f,856,1628596813,734881840,Dorsal cochlear nucleus
97,1002,Right Temporal association areas layer 1,RTEa1,,1,3,8690,541,7,1,322,/997/8/567/688/695/315/541/97/,15B0B3,,,f,323,456768453,734881840,Temporal association areas layer 1
98,719,Right subependymal zone,RSEZ,,1,3,8690,81,3,1,1202,/997/73/81/98/,AAAAAA,,,f,1203,1826888016,734881840,subependymal zone
99,436,Right Nucleus of the lateral lemniscus ventral part,RNLLv,,1,3,8690,612,7,1,807,/997/8/343/1065/771/1132/612/99/,FFAE6F,,,f,808,1722520813,734881840,Nucleus of the lateral lemniscus ventral part
100,153,Right Interpeduncular nucleus,RIPN,,1,3,8690,165,6,1,797,/997/8/343/313/348/165/100/,FFA6FF,,,f,798,814290991,734881840,Interpeduncular nucleus
101,861,Right Ventral cochlear nucleus,RVCO,,1,3,8690,607,7,1,856,/997/8/343/1065/354/386/607/101/,FFA5D2,,,f,857,1142812669,734881840,Ventral cochlear nucleus
102,578,Right nigrostriatal tract,Rnst,,1,3,8690,760,4,1,1129,/997/1009/1000/760/102/,CCCCCC,,,f,1130,1908794680,734881840,nigrostriatal tract
103,295,Right Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part,RPVHpm,,1,3,8690,71,8,1,664,/997/8/343/1129/1097/157/38/71/103/,FF5D50,,,f,665,250376013,734881840,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part
104,12,Right Agranular insular area dorsal part,RAId,,1,3,8690,95,7,1,261,/997/8/567/688/695/315/95/104/,219866,,,f,262,289370996,734881840,Agranular insular area dorsal part
105,437,Right Superior olivary complex medial part,RSOCm,,1,3,8690,398,7,1,823,/997/8/343/1065/771/1132/398/105/,FFAE6F,,,f,824,3450441622,734881840,Superior olivary complex medial part
106,154,Right Inferior salivatory nucleus,RISN,,1,3,8690,370,6,1,892,/997/8/343/1065/354/370/106/,FFB3D9,,,f,893,2611456062,734881840,Inferior salivatory nucleus
107,1003,Right Somatomotor areas Layer 1,RMO1,,1,3,8690,500,7,1,10,/997/8/567/688/695/315/500/107/,1F9D5A,,,f,11,900612548,734881840,Somatomotor areas Layer 1
108,720,Right choroid plexus,Rchpl,,1,3,8690,81,3,1,1203,/997/73/81/108/,AAAAAA,,,f,1204,1492204019,734881840,choroid plexus
109,579,Right nigrothalamic fibers,Rntt,,1,3,8690,760,4,1,1130,/997/1009/1000/760/109/,CCCCCC,,,f,1131,3579496032,734881840,nigrothalamic fibers
110,296,Right Paraventricular hypothalamic nucleus parvicellular division periventricular part,RPVHpv,,1,3,8690,94,8,1,670,/997/8/343/1129/1097/157/38/94/110/,FF5D50,,,f,671,3511387045,734881840,Paraventricular hypothalamic nucleus parvicellular division periventricular part
111,13,Right Agranular insular area posterior part,RAIp,,1,3,8690,95,7,1,267,/997/8/567/688/695/315/95/111/,219866,,,f,268,1382517995,734881840,Agranular insular area posterior part
112,862,Right Granular lamina of the cochlear nuclei,RCNlam,,1,3,8690,607,7,1,853,/997/8/343/1065/354/386/607/112/,FFA5D2,,,f,854,3067613847,734881840,Granular lamina of the cochlear nuclei
113,1004,Right Primary somatosensory area lower limb layer 2/3,RSSp-ll2/3,,1,3,8690,337,9,1,57,/997/8/567/688/695/315/453/322/337/113/,188064,,,f,58,2802480882,734881840,Primary somatosensory area lower limb layer 2/3
114,438,Right Superior olivary complex lateral part,RSOCl,,1,3,8690,398,7,1,824,/997/8/343/1065/771/1132/398/114/,FFAE6F,,,f,825,98062534,734881840,Superior olivary complex lateral part
115,155,Right Trochlear nucleus,RIV,,1,3,8690,323,5,1,785,/997/8/343/313/323/115/,FF90FF,,,f,786,4115476116,734881840,Trochlear nucleus
116,721,Right choroid fissure,Rchfl,,1,3,8690,81,3,1,1204,/997/73/81/116/,AAAAAA,,,f,1205,3192898784,734881840,choroid fissure
117,580,Right optic chiasm,Roch,,1,3,8690,848,4,1,1028,/997/1009/967/848/117/,CCCCCC,,,f,1029,1585611786,734881840,optic chiasm
118,297,Right Periventricular hypothalamic nucleus intermediate part,RPVi,,1,3,8690,157,6,1,672,/997/8/343/1129/1097/157/118/,FF5D50,,,f,673,3086088557,734881840,Periventricular hypothalamic nucleus intermediate part
119,14,Right Agranular insular area ventral part,RAIv,,1,3,8690,95,7,1,273,/997/8/567/688/695/315/95/119/,219866,,,f,274,4204343095,734881840,Agranular insular area ventral part
120,863,Right Agranular insular area posterior part layer 1,RAIp1,,1,3,8690,111,8,1,268,/997/8/567/688/695/315/95/111/120/,219866,,,f,269,3201384576,734881840,Agranular insular area posterior part layer 1
121,1005,Right Lateral visual area layer 6b,RVISl6b,,1,3,8690,409,8,1,167,/997/8/567/688/695/315/669/409/121/,08858C,,,f,168,1208923682,734881840,Lateral visual area layer 6b
122,439,Right Superior olivary complex periolivary region,RPOR,,1,3,8690,398,7,1,822,/997/8/343/1065/771/1132/398/122/,FFAE6F,,,f,823,197155834,734881840,Superior olivary complex periolivary region
123,156,Right Koelliker-Fuse subnucleus,RKF,,1,3,8690,867,7,1,810,/997/8/343/1065/771/1132/867/123/,FFAE6F,,,f,811,3695440306,734881840,Koelliker-Fuse subnucleus
124,722,Right interventricular foramen,RIVF,,1,3,8690,73,2,1,1205,/997/73/124/,AAAAAA,,,f,1206,1644273448,734881840,interventricular foramen
125,581,Right optic tract,Ropt,,1,3,8690,848,4,1,1029,/997/1009/967/848/125/,CCCCCC,,,f,1030,473050819,734881840,optic tract
126,298,Right Periventricular hypothalamic nucleus posterior part,RPVp,,1,3,8690,141,6,1,689,/997/8/343/1129/1097/141/126/,FF5547,,,f,690,4039829223,734881840,Periventricular hypothalamic nucleus posterior part
127,15,Right Anteromedial nucleus,RAM,,1,3,8690,239,7,1,619,/997/8/343/1129/549/856/239/127/,FF909F,,,f,620,70138096,734881840,Anteromedial nucleus
128,864,Right Midbrain reticular nucleus,RMRN,,1,3,8690,323,5,1,758,/997/8/343/313/323/128/,FF90FF,,,f,759,2371196921,734881840,Midbrain reticular nucleus
129,723,Right third ventricle,RV3,,1,3,8690,73,2,1,1206,/997/73/129/,AAAAAA,,,f,1207,562407244,734881840,third ventricle
130,440,Right Superior central nucleus raphe medial part,RCSm,,1,3,8690,679,7,1,841,/997/8/343/1065/771/1117/679/130/,FFC395,,,f,842,3729469793,734881840,Superior central nucleus raphe medial part
131,157,Right Lateral amygdalar nucleus,RLA,,1,3,8690,703,5,1,511,/997/8/567/688/703/131/,90EB8D,,,f,512,437540953,734881840,Lateral amygdalar nucleus
132,1006,Right Prelimbic area layer 6b,RPL6b,,1,3,8690,972,7,1,227,/997/8/567/688/695/315/972/132/,2FA850,,,f,228,1608489679,734881840,Prelimbic area layer 6b
133,299,Right Periventricular hypothalamic nucleus preoptic part,RPVpo,,1,3,8690,141,6,1,690,/997/8/343/1129/1097/141/133/,FF5547,,,f,691,2330540908,734881840,Periventricular hypothalamic nucleus preoptic part
134,582,Right pallidotegmental fascicle,Rptf,,1,3,8690,760,4,1,1131,/997/1009/1000/760/134/,CCCCCC,,,f,1132,2146198276,734881840,pallidotegmental fascicle
135,16,Right Nucleus ambiguus,RAMB,,1,3,8690,370,6,1,883,/997/8/343/1065/354/370/135/,FFB3D9,,,f,884,1540571580,734881840,Nucleus ambiguus
136,865,Right Intermediate reticular nucleus,RIRN,,1,3,8690,370,6,1,891,/997/8/343/1065/354/370/136/,FFB3D9,,,f,892,484077622,734881840,Intermediate reticular nucleus
137,441,Right Superior central nucleus raphe lateral part,RCSl,,1,3,8690,679,7,1,840,/997/8/343/1065/771/1117/679/137/,FFC395,,,f,841,638768583,734881840,Superior central nucleus raphe lateral part
138,158,Right Lateral group of the dorsal thalamus,RLAT,,1,3,8690,856,6,1,612,/997/8/343/1129/549/856/138/,FF909F,,,f,613,1237671945,734881840,Lateral group of the dorsal thalamus
139,1007,Right Entorhinal area lateral part layer 5,RENTl5,,1,3,8690,918,9,1,464,/997/8/567/688/695/1089/822/909/918/139/,32B825,,,f,465,1686973835,734881840,Entorhinal area lateral part layer 5
140,724,Right cerebral aqueduct,RAQ,,1,3,8690,73,2,1,1207,/997/73/140/,AAAAAA,,,f,1208,3509002335,734881840,cerebral aqueduct
141,300,Right Periventricular region,RPVR,,1,3,8690,1097,5,1,674,/997/8/343/1129/1097/141/,FF5547,,,f,675,227550009,734881840,Periventricular region
142,583,Right pallidothalmic pathway,Rpap,,1,3,8690,760,4,1,1128,/997/1009/1000/760/142/,CCCCCC,,,f,1129,1580725202,734881840,pallidothalmic pathway
143,17,Right Nucleus ambiguus ventral division,RAMBv,,1,3,8690,135,7,1,885,/997/8/343/1065/354/370/135/143/,FFB3D9,,,f,886,1830643471,734881840,Nucleus ambiguus ventral division
144,866,Right Olfactory tubercle layers 1-3,ROT1-3,,1,3,8690,754,7,1,530,/997/8/567/623/477/493/754/144/,80CDF8,,,f,531,523471140,734881840,Olfactory tubercle layers 1-3
145,725,Right fourth ventricle,RV4,,1,3,8690,73,2,1,1208,/997/73/145/,AAAAAA,,,f,1209,2366263365,734881840,fourth ventricle
146,442,Right Pontine reticular nucleus,RPRNr,,1,3,8690,1117,6,1,845,/997/8/343/1065/771/1117/146/,FFC395,,,f,846,1626550003,734881840,Pontine reticular nucleus
147,159,Right Locus ceruleus,RLC,,1,3,8690,1117,6,1,842,/997/8/343/1065/771/1117/147/,FFC395,,,f,843,2295858987,734881840,Locus ceruleus
148,1008,Right Gustatory areas layer 4,RGU4,,1,3,8690,1057,7,1,100,/997/8/567/688/695/315/1057/148/,009C75,,,f,101,4260247682,734881840,Gustatory areas layer 4
149,301,Right Paraventricular nucleus of the thalamus,RPVT,,1,3,8690,571,7,1,635,/997/8/343/1129/549/856/571/149/,FF909F,,,f,636,3631961400,734881840,Paraventricular nucleus of the thalamus
150,584,Right periventricular bundle of the hypothalamus,Rpvbh,,1,3,8690,824,4,1,1183,/997/1009/991/824/150/,CCCCCC,,,f,1184,548763661,734881840,periventricular bundle of the hypothalamus
